"Title","URL","image URL","image2 URL","Price1","Price2","Price3","desc1","desc2","desc3","Item ID","Type","Brand","Price level","Tag ID","Gender","online Date","offline Date","Stock","Status"
"太古 优级方糖","http://www.fieldschina.com/zh/item-1095.html","http://www.fieldschina.com/image/product/201103/51fbe6e237807486799.jpg","","15","15","0","太古纯正方糖历史悠久，以品质卓越而深受消费者青睐。每颗方糖均选用精选白砂糖，加入过滤水，在密封自动搅拌器混合后充压成形，最后经远红外线进行高温干燥及杀菌，产品在纯度、色值及结构等方面均有严格要求，由于水分含量低，加上采用密封防潮包装，保质期更长。产品具有洁白纯正、棱角分明、结构紧凑、易于溶解的特性。由于大小一致，每粒份量等于一茶匙白砂糖，是为饮品添加甜味的方便优雅之选。
","","","1095","烘焙用品","烘焙用品","","","","","","50000","1"
"雀巢 鹰唛炼奶","http://www.fieldschina.com/zh/item-1105.html","http://www.fieldschina.com/image/product/201404/1398103242127004.jpg","","16","16","0","香甜并奶味十足。雀巢炼奶只采用两种配料制成：新鲜的全脂牛奶和天然糖，不含任何防腐剂。 放入您最喜欢的甜点里，试着搭配奶酪蛋糕，或装入罐里蒸煮，就能方便制作出诱人的焦糖牛奶了。
","","","1105","牛奶","牛奶","","","","","","50000","1"
"缇树 覆盆子果酱","http://www.fieldschina.com/zh/item-1115.html","http://www.fieldschina.com/image/product/201103/51fbe6e29dab3590330.jpg","","35","35","0","绵延起伏的英国乡间，就在宁静的缇树镇边上坐落着一家名叫威尔金兄弟公司的农场。威尔金家族的农场成为艾塞克斯郡的地标已经有300多年之久，他们大部分的果酱，蜜饯，罐头水果和橘子酱都是由在家族农场生长并采摘的水果制成。这种高质量的水果最后制成了优质的水果罐头，如这种由苏格兰甜味树莓制成的树莓果酱。需冷藏。
","","","1115","蜂蜜、果酱&amp;烧烤酱","蜂蜜、果酱&amp;烧烤酱","","","","","","50000","1"
"李派林 ?汁","http://www.fieldschina.com/zh/item-1152.html","http://www.fieldschina.com/image/product/201103/51fbe6e2d6454167065.jpg","","28","28","0","烤肉酱，凯撒沙拉和血腥玛丽鸡尾酒有什么共同之处呢？答案就是?汁。这种神秘的酱汁品牌叫做李派林，这种加入了糖浆，罗望子，陈年麦芽醋，红洋葱，蒜，葱，丁香和其它香料的神秘混合调制品在它们的英国工厂的木桶中储存了3年才制成，而且原始配方已保留使用了近160多年之久。可用于醋汁，沙拉调味料，焙盘菜，汤汁，酱汁，鸡尾酒，甚至直接淋在新鲜的海鲜上。
","","","1152","调味品和酱料","调味品和酱料","","","","","","50000","1"
"2009 蚝湾霞多丽干白葡萄酒","http://www.fieldschina.com/zh/item-1200.html","http://www.fieldschina.com/image/product/201104/51fbe6e308964267239.jpg","","200","200","0","采用葡萄酒品种霞多丽在优质的葡萄酒产区马尔堡地区酿造，有水果香味和成熟柑橘和核果的味道，混合少许橡木味，最后可品尝出奶油质感。
","","","1200","白葡萄酒","白葡萄酒","","","","","","50000","1"
"2012 蚝湾长相思干白葡萄酒","http://www.fieldschina.com/zh/item-1201.html","http://www.fieldschina.com/image/product/201104/51fbe6e30feab547866.jpg","","200","200","0","产于新西兰马尔堡。集中了有独特香味的西番莲果和热带水果的味道，并有浓郁的酒香，这是一种口感新鲜，优雅，并令人精神大振的葡萄酒。
","","","1201","白葡萄酒","白葡萄酒","","","","","","50000","1"
"Fiji斐济 矿泉水 500ml*24","http://www.fieldschina.com/zh/item-1213.html","http://www.fieldschina.com/image/product/201308/1375970971471307.jpg","","279","279","0","来自斐济岛原始含水层的天然自流水。高二氧化矽含量?予斐济水一种独特的软性质感和口感。二氧化矽也被认为对头发、皮屑、指甲和骨骼具有健康益处。
","","","1213","矿泉水","矿泉水","","","","","","50000","1"
"Kettle 凯蒂 薯片（蜂蜜黄芥末）","http://www.fieldschina.com/zh/item-1216.html","http://www.fieldschina.com/image/product/201404/1397669542855795.jpg","","30","30","0","凯蒂 蜂蜜黄芥末薯片，选用新鲜的土豆为主要原料添加植物油、蜂蜜使用现代工艺加工制成，充分保留了营养成份。口感酥脆纯正、辣味中夹杂着淡淡的蜂蜜清甜味，带给你全新的体验。
","","","1216","零食小吃","零食小吃","","","","","","50000","1"
"Kettle 凯蒂 薯片（纽约车达芝士）","http://www.fieldschina.com/zh/item-1217.html","http://www.fieldschina.com/image/product/201404/1397669121986061.jpg","","30","30","0","凯蒂 纽约车达芝士，芝士味很浓，薯片上的料很足，吃起来很有感觉。薯片有点硬，但且是那种越嚼越香的感觉，让你一片接着 一片吃下去。凯蒂薯片，它们是百分之百的天然食品，采用最上乘的薯片，不含基因改造原料，切成薄片后，手工制成松脆，健康的零食，并用各种天然的调味料进行调味。 不含谷蛋白，人工添加剂，以及你知道的添加物。 这些经典口味的薯片是用天然土豆制作的，并加入了浓浓切达芝士。
","","","1217","零食小吃","零食小吃","","","","","","50000","1"
"Kettle 凯蒂 薯片（洋葱酸奶）","http://www.fieldschina.com/zh/item-1219.html","http://www.fieldschina.com/image/product/201104/51fbe6e33e6b6254642.jpg","","30","30","0","凯蒂牌令人垂涎欲滴的薯片特别的美味，首先，它们是百分之百的天然食品。 它采用最上乘的薯片，不含基因改造原料，切成薄片后，手工制成松脆，健康的零食，并用各种天然的调味料进行调味。 不含谷蛋白，人工添加剂，以及你知道的添加物。这些经典的香甜洋葱味薯片是用天然土豆制作的，加入了充足的酸奶油和香料洋葱。
","","","1219","零食小吃","零食小吃","","","","","","50000","1"
"Kettle 凯蒂 薯片（泰式辣味）","http://www.fieldschina.com/zh/item-1220.html","http://www.fieldschina.com/image/product/201404/1397668888141453.jpg","","30","30","0","凯蒂 泰式辣味薯片，选用新鲜的土豆为主要原料添加植物油等原料。使用现代工艺加工制成，充分保留了营养成份。其口感酥脆纯正、香辣、富含独特的泰式风味，全新体验。
","","","1220","零食小吃","零食小吃","","","","","","50000","1"
"Kettle　凯蒂 薯片（墨西哥辣椒）","http://www.fieldschina.com/zh/item-1221.html","http://www.fieldschina.com/image/product/201104/51fbe6e34627d874576.jpg","","30","30","0","凯蒂牌令人垂涎欲滴的薯片特别的美味，首先，它们是百分之百的天然食品。 它采用最上乘的薯片，不含基因改造原料，切成薄片后，手工制成松脆，健康的零食，并用各种天然的调味料进行调味。 不含谷蛋白，人工添加剂，以及你知道的添加物。 这些墨西哥辣椒味薯片是用天然土豆制作的，加入了墨西哥辣椒。
","","","1221","零食小吃","零食小吃","","","","","","50000","1"
"Kettle 凯蒂 薯片（布法罗乳酪）","http://www.fieldschina.com/zh/item-1223.html","http://www.fieldschina.com/image/product/201404/1397669347204603.jpg","","30","30","0","凯蒂 布法罗乳酪味薯片，选用新鲜的土豆为主要原料添加植物油、甘蔗浆等。使用现代工艺加工制成，充分保留了营养成份。独特的布法罗乳酪味、其口感酥脆纯正、片片香甜。
","","","1223","零食小吃","零食小吃","","","","","","50000","1"
"美国 柠檬","http://www.fieldschina.com/zh/item-123.html","http://www.fieldschina.com/image/product/201312/1386698034788613.jpg","","25","25","0","这些进口柠檬鲜嫩多汁，香气扑鼻，不管是做成沙拉或者柠檬挞都非常适合。
","","","123","柑桔类","柑桔类","","","","","","50000","1"
"西兰花","http://www.fieldschina.com/zh/item-680.html","http://www.fieldschina.com/image/product/201011/51fbe6e00e4be288872.jpg","","15","12","0","您可能认为您的孩子并不喜欢西兰花，但是如果换一种烹饪方法，如放入汤，乳蛋饼，蘸料，松饼或意大利调味饭里，您会惊喜的发现他们竟然非常喜爱这种长得像小树的蔬菜。同样的，西兰花也是绝好的营养来源，富含多出柑橘两倍的维他命C，与牛奶相当的钙，硒(一种具有抗癌和抗病毒功能的矿物质），叶红素和钾（具有抗氧化功能）。
","","","680","田园时蔬","田园时蔬","","","","","","50000","1"
"培根","http://www.fieldschina.com/zh/item-1259.html","http://www.fieldschina.com/image/product/201402/1392119165881662.jpg","","35","35","0","采用猪肚嫩肉制成的培根搭配鸡蛋或夹入汉堡是早餐的完美组合。*冷冻产品
","","","1259","猪肉","猪肉","","","","","","50000","1"
"甜豌豆","http://www.fieldschina.com/zh/item-1260.html","http://www.fieldschina.com/image/product/201408/1407776143828757.jpg","","20","20","0","经典的春季蔬菜。新鲜豌豆无论从质量或是口感上均比罐装或冷冻豌豆上乘。而新鲜豌豆的魅力就在于你能感受到的脆脆的嚼劲和清新的口感，谁能抵挡得到如此诱惑？甜豌豆有两种吃法，一种是连同豆荚烹制食用，适合豆荚很嫩豆粒很小的时候；还有一种是剥出豆粒烹制食用，适合豆荚较为成熟纤维感很强并且内部豆粒饱满的时候。
","","","1260","豆类","豆类","","","","","","50000","1"
"2008 迪考尔 梅洛干红葡萄酒","http://www.fieldschina.com/zh/item-1266.html","http://www.fieldschina.com/image/product/201105/51fbe6e3b4a31562312.jpg","","300","300","0","美国加利福尼亚州纳帕，这种美妙的水果酒环绕着纯正的梅乐樱桃香气以及丝般顺滑的口感并带有烤面包和焦糖色素的余韵。它的单宁很强烈并与制作此葡萄酒的水果的香气一致，搭配稍微晾干的红肉或者海鲜。在酒窖中储存一到两年会使这种葡萄酒的口味以及香气变得更浓郁。
","","","1266","红葡萄酒","红葡萄酒","","","","","","50000","1"
"FIELDS 精选无花果","http://www.fieldschina.com/zh/item-127.html","http://www.fieldschina.com/image/product/201006/51fbe6dc1b234593698.jpg","","40","30","0","这种水果味美甘甜，质地松软，但是在上海，它只能在夏末秋初保持几个星期的新鲜。
","","","127","热带水果和特产水果","热带水果和特产水果","","","","","","50000","1"
"Kettle 凯蒂 薯片（家常烧烤）","http://www.fieldschina.com/zh/item-1288.html","http://www.fieldschina.com/image/product/201404/1397669406168506.jpg","","30","30","0","凯蒂 家常烧烤味薯片，选用新鲜的土豆为主要原料添加植物油、蜂蜜等原料。使用现代工艺加工制成，充分保留了营养成份。其口感酥脆纯正、富含浓郁的烧烤味道，全新体验。
","","","1288","零食小吃","零食小吃","","","","","","50000","1"
"播磨制面 播州手拉面","http://www.fieldschina.com/zh/item-4655.html","http://www.fieldschina.com/image/product/201309/1379502496130026.jpg","","58","58","0","播州揖保之丝手拉面精选优质小麦粉，传承（面的故乡播州），用一往既往的传统制面技术，精心制造，光滑且韧性十足，丰富的美味。
","","","4655","五谷杂粮","五谷杂粮","","","","","","50000","1"
"冷冻蓝莓","http://www.fieldschina.com/zh/item-1388.html","http://www.fieldschina.com/image/product/201106/51fbe6e4332d6120261.jpg","","40","40","0","我们的优质冰冻有机蓝莓来自上海当地的有机农场。冰冻后保持了蓝莓的美味，香甜多汁，非常适合用来做奶昔、冰沙以及各种甜点。温馨提示：此款冰冻蓝莓请勿解冻食用，以防降低食用口感。
","","","1388","冷冻水果","冷冻水果","","","","","","50000","1"
"2010 克莱格干白葡萄酒","http://www.fieldschina.com/zh/item-1397.html","http://www.fieldschina.com/image/product/201106/51fbe6e449039645631.jpg","","150","150","0","来自西班牙的加利西亚。这款白葡萄酒有一个十分酷的口感，有浓烈又圆润的苹果和干草的芳香。很好的平衡了酒精与酸度。
","","","1397","白葡萄酒","白葡萄酒","","","","","","50000","1"
"2004 麦琪美诺庄园维拉珍藏干红葡萄酒","http://www.fieldschina.com/zh/item-1405.html","http://www.fieldschina.com/image/product/201106/51fbe6e450467785632.jpg","","400","400","0","西班牙里卡奥葡萄酒是一款色调上佳的樱桃色红酒，由熟透的梅子肉、杏肉压榨而成，混合了香草、黑胡椒、丁香等多种香料，并加入了甘草汁和桉树菁华。口感丝滑醇厚，回味悠久，是香肠、意大利面、蔬菜、牛羊肉汤的绝佳搭配。
","","","1405","红葡萄酒","红葡萄酒","","","","","","50000","1"
"Zespri 佳沛 新西兰猕猴桃","http://www.fieldschina.com/zh/item-142.html","http://www.fieldschina.com/image/product/201006/51fbe6dc2b00c859681.jpg","","35","35","0","Zespri 新西兰猕猴桃拥有清新的绿色果肉、乳白色的果心、芝麻般的黑色种籽，皮薄多汁，淡金色果肉，鲜甜多汁，嫩滑爽口，以及浓郁清爽的香气；在其毛茸茸的外表下，是扎扎实实的视觉及味觉小清新。
","","","142","热带水果和特产水果","热带水果和特产水果","","","","","","50000","1"
"得科 意大利面（12#直面）","http://www.fieldschina.com/zh/item-277.html","http://www.fieldschina.com/image/product/201006/51fbe6dcf1209840169.jpg","","27","27","0","得科意大利面是一款高品质的适合家庭烹饪的意大利面，它面条本身的宽度赋予其不同寻常的有弹性与嚼劲。此款意大利面是典型的面条端带有圆形截面的长杆意大利面，它广泛出现在各种西餐主食搭配中。当然和这款意大利面最搭配的是冷热均可的意大利面酱，由新鲜番茄搭配蔬菜或者搭配草本调料制作而成。
","","","277","五谷杂粮","五谷杂粮","","","","","","50000","1"
"尼克雪莉葡萄酒","http://www.fieldschina.com/zh/item-1470.html","http://www.fieldschina.com/image/product/201107/51fbe6e48dd40243553.jpg","","288","288","0","赏味建议： 如同黑檀木一般深沉的色泽以及醇厚丝滑的口感，果香中又带着一丝无花果的清甜萦绕于鼻尖。尼克雪莉葡萄酒中那些焦糖、果干、无花果甚至是摩卡、坚果以及浓烈香料的复杂气息，一定会让您爱不释口。 赏味搭配： 尼克雪莉葡萄酒可以被作为一道甜点单独呈上，但同时它更是巧克力，冰淇淋以及清甜补丁的完美佐餐酒。
","","","1470","甜点酒","甜点酒","","","","","","50000","1"
"2012 黑舍 灰皮诺干白葡萄酒","http://www.fieldschina.com/zh/item-1492.html","http://www.fieldschina.com/image/product/201107/51fbe6e4a3b5f152027.jpg","","200","200","0","","","","1492","白葡萄酒","白葡萄酒","","","","","","50000","1"
"麦西恩 10英寸全麦饼皮","http://www.fieldschina.com/zh/item-1534.html","http://www.fieldschina.com/image/product/201108/51fbe6e4d0be4948837.jpg","","40","40","0","软墨西哥玉米饼的尺寸。简单地把这些超大尺寸的面粉薄饼加入你最喜欢的配料，在几分钟内制作成一道美味的佳肴。 口感柔顺，充实，有利于健康。 麦西恩全麦饼皮不含反式脂肪，猪油，胆固醇，每张饼里碳水化合物含量极低，只有5克。
","","","1534","面包、饼和皮塔饼","面包、饼和皮塔饼","","","","","","50000","1"
"海南 青柠","http://www.fieldschina.com/zh/item-4103.html","http://www.fieldschina.com/image/product/201306/51fbe70df3409776384.jpg","","12","12","0","","","","4103","柑桔类","柑桔类","","","","","","50000","1"
"马陆 醉金香无籽葡萄","http://www.fieldschina.com/zh/item-1539.html","http://www.fieldschina.com/image/product/201308/1375520911391390.jpg","","60","60","0","马陆的醉金香无籽葡萄，果粒颗颗饱满多汁，品质上等。其果粒特大，果皮与果肉易分离，肉质软硬适度，入口有即溶，果汁的浓郁茉莉香味瞬间在口腔里扩散，味道特甜，适口性好，深受大众喜爱。葡萄富含大量水分以及各种对人有益的营养元素，特别适合高血压、高度疲劳、体倦乏力、肺虚咳嗽的人士吃用。
","","","1539","草莓、樱桃和葡萄","草莓、樱桃和葡萄","","","","","","50000","1"
"新西兰 红玫瑰苹果","http://www.fieldschina.com/zh/item-154.html","http://www.fieldschina.com/image/product/201006/51fbe6dc3a5a9396084.jpg","","48","40","0","新西兰红玫瑰苹果因其果皮色亮如盛开的玫瑰花而享誉世界各地。圆滑的果形，松脆的果肉，汁多甜度高，让爱吃的人停不下嘴。
","","","154","苹果、香蕉和梨","苹果、香蕉和梨","","","","","","50000","1"
"伊莎拉贝 有机美来特谷物浆","http://www.fieldschina.com/zh/item-1565.html","http://www.fieldschina.com/image/product/201109/51fbe6e52db95489617.jpg","","38","38","0","伊莎拉贝是一家制作专门制作谷物乳制品的意大利公司。对于对于不能喝牛奶的人来说，这款饮料觉得是最合适的选择。可以用来搭配早餐，也可以做奶昔。
","","","1565","米奶","米奶","","","","","","50000","1"
"伊莎拉贝 有机斯佩尔特小麦浆","http://www.fieldschina.com/zh/item-1566.html","http://www.fieldschina.com/image/product/201407/1406631720967137.jpg","","38","38","0","原料选用全有机栽培的意大利斯佩尔特小麦，添加了有机栽培的冷榨葵花油，调味料采用了天然的海盐，无任何防腐剂和添加剂，健康、绿色、天然。营养丰富，淡爽香醇，可替代牛奶。
","","","1566","米奶","米奶","","","","","","50000","1"
"伊莎拉贝 有机燕麦浆","http://www.fieldschina.com/zh/item-1567.html","http://www.fieldschina.com/image/product/201109/51fbe6e53d935231185.jpg","","38","38","0","燕麦是一种非常健康的谷物，在禾谷类作物中蛋白质含量很高，并且含有人体必需的8中氨基酸，各组分间的比例也非常平衡，除此之外燕麦富含维生素E、B、磷、铁等物质。燕麦中含有的脂肪主要是不饱和脂肪酸，其中的亚油酸可以降低胆固醇、预防心脏疾病。燕麦还被誉为“天然美容师”，具有抗氧化、延缓肌肤衰老、美白保湿等功效。Isola 伊莎拉贝有机燕麦浆 意大利进口产品，纯植物天然配方（水，意大利燕麦11％，冷榨葵花籽油，海盐），保持了燕麦原有的营养物质，口味纯正、淡爽。饮品冷热饮用皆可。
","","","1567","米奶","米奶","","","","","","50000","1"
"贝拉米 有机婴儿奶粉（2阶段, 6-12个月）","http://www.fieldschina.com/zh/item-156.html","http://www.fieldschina.com/image/product/201309/1378303936550678.jpg","","398","398","0","适合6-12个月婴儿。贝拉米有机婴儿奶粉配方为酪蛋白，适合开始吃固体食物的宝宝，容易饿的宝宝尤其喜欢我们的这款产品，因为里面的蛋白质消化时间比较长。
","","","156","婴儿配方乳制品，奶粉","婴儿配方乳制品，奶粉","","","","","","50000","1"
"贝拉米 有机婴儿奶粉(3阶段,12个月以上）","http://www.fieldschina.com/zh/item-161.html","http://www.fieldschina.com/image/product/201309/1378303824107353.jpg","","398","369","0","适合12个月以上婴幼儿。贝拉米有机婴儿奶粉是一种营养丰富的有机牛奶饮品，富含矿物质及维他命。100%澳大利亚有机食品。成分：有机奶固体、有机麦芽糖糊精、有机矿物乳清粉、有机乳糖、有机豆油、菊粉、有机蔗糖、大豆卵磷脂。
","","","161","婴儿配方乳制品，奶粉","婴儿配方乳制品，奶粉","","","","","","50000","1"
"鲍鱼（上等A级品）","http://www.fieldschina.com/zh/item-1629.html","http://www.fieldschina.com/image/product/201109/51fbe6e5879a6203297.jpg","","200","200","0","为保证产品新鲜，本产品需提前预定 鲍鱼是中国的传统名贵食材，属四大海味：鲍、参、翅、肚 之首。FIELDS精选上等A级鲍鱼，肉质柔软而有韧度。可以请蒸也可煲汤，属秋令滋补养身之圣品。该产品鲜活配送，需提前预定。第一天17：00前下单，次日12：00后送达。
","","","1629","Shellfish","Shellfish","","","","","","50000","1"
"豇豆","http://www.fieldschina.com/zh/item-1663.html","http://www.fieldschina.com/image/product/201402/1393495787187283.jpg","","15","15","0","青豇豆在全世界都是非常流行的。这些来自四川的干豆新鲜酥脆，长期食用有益身体健康
","","","1663","豆类","豆类","","","","","","50000","1"
"毛山药","http://www.fieldschina.com/zh/item-1667.html","http://www.fieldschina.com/image/product/201110/51fbe6e599b62441017.jpg","","12","12","0","毛山药主要生长在北亚地区，吃起来有点像比较生的小胡萝卜。在使用前必须在盐水和醋中浸泡一段时间来中和掉一些有毒物质。毛山药可以用来制作沙拉，也可以用来制作前菜。当然也同样可以用来煲汤，煨汤的时候山药的口感会变得更加紧实。山药在中医中也是具有药用价值的，用来治疗胃痛，咳嗽和肺病都有一定的效果。
","","","1667","根茎类","根茎类","","","","","","50000","1"
"牛蒡","http://www.fieldschina.com/zh/item-1668.html","http://www.fieldschina.com/image/product/201403/1395414877704603.jpg","","35","35","0","牛蒡为我国古老的药食两用食物蔬菜。试试看用日式的方式来烹饪，剥皮，切碎然后和切碎的胡萝卜，芝麻油一起翻炒。具有非常高的营养价值。
","","","1668","根茎类","根茎类","","","","","","50000","1"
"芋艿","http://www.fieldschina.com/zh/item-1670.html","http://www.fieldschina.com/image/product/201308/1377080347135658.jpg","","22","22","0","芋头又称芋艿，口感细软，绵甜香糯，营养价值近似于土豆，又不含龙葵素，易于消化而不会引起中毒，是一种很好的碱性食物。它既可作为主食蒸熟蘸糖食用，又可用来制作菜肴、点心。
","","","1670","根茎类","根茎类","","","","","","50000","1"
"青南瓜","http://www.fieldschina.com/zh/item-1673.html","http://www.fieldschina.com/image/product/201110/51fbe6e5a13e8255325.jpg","","20","20","0","这些南瓜虽然外表看起来是绿色的，但其实上瓜囊还是橘黄色的。它们的瓜囊比较嫩，水分也更多，适合油煎或烘烤。
","","","1673","田园时蔬","田园时蔬","","","","","","50000","1"
"苦瓜","http://www.fieldschina.com/zh/item-1676.html","http://www.fieldschina.com/image/product/201110/51fbe6e5ab3fe829202.jpg","","24","22","0","苦瓜虽苦，但一直以来，它都被誉为是非常健康的食品。且从不会把苦味传到其他一起烹调的食材里去。搭配紫薯、蜂蜜制成苦瓜紫薯卷，会是一款创意十足又极富营养价值的菜肴噢！甫田诚意为您提供最新鲜、优质的有机绿色食品。
","","","1676","本地蔬菜","本地蔬菜","","","","","","50000","1"
"杭椒","http://www.fieldschina.com/zh/item-1691.html","http://www.fieldschina.com/image/product/201401/1389788757987113.jpg","","12","12","0","一种口感温和的辣椒，这些辣椒因为它的清新口感而受到厨师们的青睐。 尝试一下杭椒牛柳的做法吧！
","","","1691","青椒辣椒","青椒辣椒","","","","","","50000","1"
"芦笋","http://www.fieldschina.com/zh/item-1693.html","http://www.fieldschina.com/image/product/201110/51fbe6e5cdb1a248236.jpg","","30","30","0","甫田特供农场新鲜采摘的芦笋，可以蒸熟后放进沙拉，或者用来搭配意大利细面，煎蛋或其他菜肴。芦笋清新的味道绝对是无与伦比的！
","","","1693","田园时蔬","田园时蔬","","","","","","50000","1"
"苏格兰 解冻即食棕蟹","http://www.fieldschina.com/zh/item-7491.html","http://www.fieldschina.com/image/product/201407/1406288760139903.jpg","","148","132","0","棕蟹主要生长在北大西洋的欧洲沿岸，棕蟹主要是在苏格兰海岸捕捞，这里不但风景美丽，而且没有污染。棕蟹是深海野生蟹类，所以蟹壳很硬,打开后呈现出深橘色的膏体，蟹膏丰盈，比一般螃蟹膏要多6到10倍。
","","","7491","Shellfish","Shellfish","","","","","","50000","1"
"有机上海芹菜","http://www.fieldschina.com/zh/item-1710.html","http://www.fieldschina.com/image/product/201110/51fbe6e5e704b377742.jpg","","18","18","0","甫田精选有机农场种植的有机黄心芹，其叶柄青黄色，茎杆嫩黄色，心叶金黄。质地脆嫩，纤维少，味清香。芹菜也是一种理想的绿色减肥食品。
","","","1710","田园时蔬","田园时蔬","","","","","","50000","1"
